model,snapshot,target,probe_type,selected_alpha,validation_score,final_score,final_secondary_score,label_shuffle_mean,label_shuffle_max,random_subspace_rank,random_subspace_mean,random_subspace_max
collapsed_plain,1024,expected_unique_conflicts,numeric,1.0,0.42370553433890534,0.416240897976102,0.2816630560013976,-0.17974593118347923,-0.10128196100924858,1,-0.03255644433455173,0.06338798215664487
collapsed_plain,1024,hard_row_conflicts,numeric,100.0,0.19491035171587656,0.21059138260835686,0.12367396152735055,-0.07797151867245705,-0.03924195660705365,1,-0.040244991064532644,0.05940807027987527
collapsed_plain,1024,hard_column_conflicts,numeric,1.0,0.21202830547843798,0.2206941699729673,0.11724267550601353,-0.12808615172278945,-0.03227519298312109,1,-0.036462538619745535,6.156186203631897e-05
collapsed_plain,1024,hard_box_conflicts,numeric,1.0,0.19498135039486886,0.2261456817158809,0.11274039972935068,-0.15907807693999845,-0.0962485511767035,1,-0.015553648620934564,0.02585388014869272
collapsed_plain,1024,hard_unique_conflicts,numeric,1.0,0.28017838972274833,0.3122634222371202,0.2050879416012128,-0.14351789749228164,-0.0603250171655525,1,-0.02811999191797552,0.05358246962501623
collapsed_plain,1024,row_candidate_count,numeric,100.0,0.21494704955007904,0.23450112807585766,0.22387832505141014,-0.13683753687384742,-0.06955783196537424,1,-0.09836069201990166,-0.022822296684455345
collapsed_plain,1024,column_candidate_count,numeric,1.0,0.2359465325154847,0.2233445509994768,0.2179282347706214,-0.2338067150780976,-0.1274205133713453,1,-0.08882398720760348,0.06051796750775762
collapsed_plain,1024,box_candidate_count,numeric,100.0,0.23594688735323233,0.18693081598924643,0.18605527524455312,-0.13417066137757383,-0.08116067281362294,1,-0.09915833499358265,-0.042513994145056966
collapsed_plain,1024,joint_candidate_count,numeric,100.0,0.12222866730859461,0.1511612457431638,0.009590177750432805,-0.027015169735437217,0.018490849240391904,1,0.007983645007291373,0.07554869423715904
collapsed_plain,1024,static_joint_candidate_count,numeric,10000.0,-0.0011838751557733396,-0.004732796392334926,1.267045248898313e-05,-0.007521656949378536,-0.0017614456078371976,1,-0.00418832116046311,-0.003200752054254963
collapsed_plain,1024,hard_row_conflicts,categorical,0.01,0.268615558582406,0.37159984484643327,0.7393617021276596,0.3294853485665926,0.3375683204626397,2,0.3333333333333333,0.3333333333333333
collapsed_plain,1024,hard_column_conflicts,categorical,0.01,0.21615565144976906,0.28891749300788205,0.7526595744680851,0.24754084032545132,0.25659483854563947,2,0.2502482996440376,0.2532894736842105
collapsed_plain,1024,hard_box_conflicts,categorical,0.01,0.36965670955521257,0.28423972820374943,0.7358156028368794,0.24812086011781095,0.2537494194999145,3,0.251115323980153,0.2578129200987461
collapsed_plain,1024,hard_unique_conflicts,categorical,100.0,0.15027002958933536,0.16008381242545472,0.6418439716312057,0.14284560777219474,0.14346403381297118,5,0.1464588612384698,0.1526721491920868
collapsed_plain,1024,row_candidate_count,categorical,1.0,0.29273527774383207,0.28712712760639264,0.5425531914893617,0.19221763191214958,0.211927752362096,3,0.21306673681824007,0.2302552071525033
collapsed_plain,1024,column_candidate_count,categorical,1.0,0.27399837725924686,0.2657378128145621,0.5062056737588653,0.1991297852790275,0.21557291255845548,4,0.21256268662634714,0.22500119171523844
collapsed_plain,1024,box_candidate_count,categorical,0.01,0.3476717581400463,0.3306952249228181,0.49556737588652483,0.23869402666076972,0.25692673088373613,3,0.2616362244761241,0.2890481805027065
collapsed_plain,1024,joint_candidate_count,categorical,1.0,0.3661373494706828,0.32863337606330784,0.7101063829787234,0.24957966952758578,0.2547526710011026,3,0.2653295026805065,0.3099730048287137
collapsed_plain,1024,static_joint_candidate_count,categorical,10000.0,0.142682077705055,0.13864719658355146,0.35904255319148937,0.14176003128160503,0.14845571015291362,6,0.14089727834356452,0.14285714285714285
collapsed_plain,1024,target_candidate_legal,categorical,100.0,0.6619673009916913,0.6340830706707336,0.7987588652482269,0.5001601428771418,0.5012599320400294,1,0.5172771362635591,0.625015377958401
late_state_ce,16,expected_row_conflicts,numeric,1.0,0.8618498045464856,0.8591403792055492,0.6447494828321646,-0.1421277939841843,0.08511272687714122,1,0.0827176993025139,0.42019926951215736
late_state_ce,16,expected_column_conflicts,numeric,0.01,0.8717318607754461,0.8709603785116042,0.6576840875563551,-0.18071166757880464,-0.06659491403166617,1,0.06504892237116428,0.3449883354853853
late_state_ce,16,expected_box_conflicts,numeric,0.01,0.8655349422301126,0.8636868187181136,0.6459641742881708,-0.15204581312847176,0.007271673814206681,1,0.08552874643664148,0.281557605455113
late_state_ce,16,expected_unique_conflicts,numeric,1.0,0.8645506913932491,0.8652363350735328,0.6419262375318835,-0.16419890113724167,-0.008124231704495388,1,0.05879688020868714,0.3088124914534299
late_state_ce,16,hard_row_conflicts,numeric,100.0,0.3267514188600833,0.30093516608266746,0.08080934196569745,-0.012349436187497363,0.04453619149547783,1,0.013155139960671164,0.07807428302796893
late_state_ce,16,hard_column_conflicts,numeric,100.0,0.26592156488743146,0.3195058575561366,0.12000586748561515,-0.033200443980156015,0.00488215867716546,1,0.011927843076379112,0.0682179237392685
late_state_ce,16,hard_box_conflicts,numeric,100.0,0.3564661644630833,0.3165554289801934,0.14003586537382606,-0.04217211590746982,0.011816645665000847,1,0.007449467838595625,0.1247583407139864
